AssetID,Asset Name,Asset Category,Asset SubCategory,Asset Category_old,Notes
563eb0f2-d1fb-4745-aac5-1577a2ab7e68,"Jon Merz, Portfolio of 7 Works",,,,
c7a351d3-5b8c-47ab-90c8-745a1d8836a9,"Jordan/Pippen 2005 Exquisite Collection Dual Scripted Auto Patch 5/5 BGS 8,5",,,,
3a8b7778-7281-40dd-a6c0-f380149a6a3e,"Josh Sperling, Untitled (Tondo 1), 2017",,,,
e1c98c29-d94f-48f8-930a-ed251b4a2936,"Katherine Bernhardt, Pepsi, 2019",,,,
8bcbfeda-080a-44a4-9421-9807cdef214a,"KAWS x Dior, BFF Plush Set",,,,
2e3a7629-499c-4d11-8cd0-0d718f34f36b,"Keith Haring, Untitled, 1985 (Part II)",,,,
f7f0b7a4-ca0c-44c4-a746-5b7e63aa0149,"Kenny Scharf, Kamo, 2020",,,,
e7a786fe-6784-42ee-8404-4dd38682bc4c,Kobe Bryant 2012 Panini Prizm Gold Most Valuable Player (MVP) 1/10 PSA 10,,,,
455f43f8-191b-4a87-bccf-d111ed52ab9f,"Kobe Bryant, 2015 Flawless Now & Then (signed), #8/25, PSA 8",,,,
74010d65-6962-4c1f-98e7-0c1aeb763a53,"Krug, Rosé & Champagne Portfolio",,,,
b0c360e7-a401-4517-8426-e880ee516119,"Ksenia Pasyura, Ceremony, 2023",,,,
6b0a2283-e11b-47c9-9cf3-3a999ce09ec1,"Ksenia Pasyura, New Statement, 2024",,,,
64169723-b0fe-46f5-ba8a-2e371c3c28d0,Kylian Mbappe Panini Donruss FIFA Kaboom Black 1of1,,,,
139efc0e-2ee7-43b8-b887-524f03643a8f,Lamine Yamal 2023-24 Topps Chrome UCC (UEFA Club Competitions) Black Refractor Auto Rookie 4of10 PSA 8 + 10,Sports Trading Cards,Lamine Yamal,,
b762f544-5aa4-4853-a07b-d5b7b67dd46d,Lamine Yamal 2024 Topps Chrome UEFA EURO Debut Black Auto 10of10,Sports Trading Cards,Lamine Yamal,,
23e1a6ae-a446-4c49-a76a-8bb3f46f92ed,LEGO Aviation & Aerospace Bundle I (80 Sets),Lego,,,
8a1a9ce3-eb8d-4190-a28c-1b181cacdfdc,LEGO Chinese New Year Bundle (120 sets),,,,
cb85a404-503e-4010-a946-56ce0614fc83,LEGO City Trains Bundle I,,,,
6bd641c1-ba46-4c74-893f-3e2b0567cea1,LEGO Classic Cars (150 sets),,,,
8c3bbedd-0dd5-4fba-87e9-6da747ffbd1f,LEGO Icons – Eiffel Tower (25 Sets),,,,
98c54d3c-cd95-4be3-8730-eb2bc35dd318,LEGO Modular Buildings Bundle II (80 Sets),,,,
af93cd3b-d74f-4873-b19a-ecdabeeb2586,"LEGO, ”modular building” Collection",,,,
