AssetID,Asset Name,Month,Date,Price,Currency
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-02,14.02.2026,50.99,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-03,24.03.2026,51.11,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-04,24.04.2026,52.39,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-05,07.05.2026,52.39,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-06,17.06.2026,52.38,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-07,29.07.2026,52.27,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-08,04.08.2026,52.27,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-1-,,50.99,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-2-,,50.99,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-3-,,51.11,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-4-,,52.39,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-5-,,52.01,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-6-,,52.38,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-7-,,52.27,EUR
0a68e368-3993-47cc-b044-1d8c45b71788,2002 Ferrari 360 Modena Manual,2026-8-,,52.27,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-10,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-11,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-12,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-3-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-4-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-5-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-6-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-7-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-8-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2025-9-,,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-01,16.01.2026,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-02,14.02.2026,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-03,24.03.2026,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-04,24.04.2026,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-05,07.05.2026,61.69,EUR
a4bbcf2f-b426-410f-b37c-6e0f5731b28d,"Albert Willem, The Very Wild West!, 2023",2026-06,17.06.2026,58.38,EUR
